clip,frame_idx,predicted_state,state_conf,top_k_states,dominant_components,reason_flags,state_origin,base_state_origin,base_state_name,oracle_step_hints,frame_name,source_label_frame_idx
03_assy_0_1,550,10010100000,0.9,"[[""10010100000"", 0.9]]","[""base"", ""rear_chassis"", ""front_rear_chassis_pin""]","[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,10010100000,[],000550.jpg,
03_assy_0_1,551,10010100000,0.9,"[[""10010100000"", 0.9]]","[""base"", ""rear_chassis"", ""front_rear_chassis_pin""]","[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,10010100000,[],000551.jpg,
03_assy_0_1,552,10010100000,0.9,"[[""10010100000"", 0.9]]","[""base"", ""rear_chassis"", ""front_rear_chassis_pin""]","[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,10010100000,[],000552.jpg,
03_assy_0_1,553,10010100000,0.9,"[[""10010100000"", 0.9]]","[""base"", ""rear_chassis"", ""front_rear_chassis_pin""]","[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,10010100000,[],000553.jpg,
03_assy_0_1,554,10010100000,0.9,"[[""10010100000"", 0.9]]","[""base"", ""rear_chassis"", ""front_rear_chassis_pin""]","[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,10010100000,[],000554.jpg,
03_assy_0_1,555,10010100000,0.9,"[[""10010100000"", 0.9]]","[""base"", ""rear_chassis"", ""front_rear_chassis_pin""]","[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,10010100000,[],000555.jpg,
03_assy_0_1,556,10010100000,0.9,"[[""10010100000"", 0.9]]","[""base"", ""rear_chassis"", ""front_rear_chassis_pin""]","[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,10010100000,[],000556.jpg,
03_assy_0_1,557,10010100000,0.9,"[[""10010100000"", 0.9]]","[""base"", ""rear_chassis"", ""front_rear_chassis_pin""]","[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,10010100000,[],000557.jpg,
03_assy_0_1,558,10010100000,0.9,"[[""10010100000"", 0.9]]","[""base"", ""rear_chassis"", ""front_rear_chassis_pin""]","[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,10010100000,[],000558.jpg,
03_assy_0_1,559,10010100000,0.9,"[[""10010100000"", 0.9]]","[""base"", ""rear_chassis"", ""front_rear_chassis_pin""]","[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,10010100000,[],000559.jpg,
03_assy_0_1,560,10010100000,0.9,"[[""10010100000"", 0.9]]","[""base"", ""rear_chassis"", ""front_rear_chassis_pin""]","[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,10010100000,[],000560.jpg,
03_assy_0_1,561,10010100000,0.9,"[[""10010100000"", 0.9]]","[""base"", ""rear_chassis"", ""front_rear_chassis_pin""]","[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,10010100000,[],000561.jpg,
03_assy_0_1,562,10010100000,0.9,"[[""10010100000"", 0.9]]","[""base"", ""rear_chassis"", ""front_rear_chassis_pin""]","[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,10010100000,[],000562.jpg,
03_assy_0_1,563,10010100000,0.9,"[[""10010100000"", 0.9]]","[""base"", ""rear_chassis"", ""front_rear_chassis_pin""]","[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,10010100000,[],000563.jpg,
