clip,frame_idx,predicted_state,state_conf,top_k_states,dominant_components,reason_flags,state_origin,base_state_origin,base_state_name,oracle_step_hints,frame_name,source_label_frame_idx
03_assy_1_3,350,10010100000,0.9,"[[""10010100000"", 0.9]]","[""base"", ""rear_chassis"", ""front_rear_chassis_pin""]","[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,10010100000,[],000350.jpg,
03_assy_1_3,351,10010100000,0.9,"[[""10010100000"", 0.9]]","[""base"", ""rear_chassis"", ""front_rear_chassis_pin""]","[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,10010100000,[],000351.jpg,
03_assy_1_3,352,10010100000,0.9,"[[""10010100000"", 0.9]]","[""base"", ""rear_chassis"", ""front_rear_chassis_pin""]","[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,10010100000,[],000352.jpg,
03_assy_1_3,353,10010100000,0.9,"[[""10010100000"", 0.9]]","[""base"", ""rear_chassis"", ""front_rear_chassis_pin""]","[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,10010100000,[],000353.jpg,
03_assy_1_3,354,10010100000,0.9,"[[""10010100000"", 0.9]]","[""base"", ""rear_chassis"", ""front_rear_chassis_pin""]","[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,10010100000,[],000354.jpg,
03_assy_1_3,355,10010100000,0.9,"[[""10010100000"", 0.9]]","[""base"", ""rear_chassis"", ""front_rear_chassis_pin""]","[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,10010100000,[],000355.jpg,
03_assy_1_3,356,10010100000,0.9,"[[""10010100000"", 0.9]]","[""base"", ""rear_chassis"", ""front_rear_chassis_pin""]","[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,10010100000,[],000356.jpg,
03_assy_1_3,357,10010100000,0.9,"[[""10010100000"", 0.9]]","[""base"", ""rear_chassis"", ""front_rear_chassis_pin""]","[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,10010100000,[],000357.jpg,
03_assy_1_3,358,10010100000,0.9,"[[""10010100000"", 0.9]]","[""base"", ""rear_chassis"", ""front_rear_chassis_pin""]","[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,10010100000,[],000358.jpg,
03_assy_1_3,359,10010100000,0.9,"[[""10010100000"", 0.9]]","[""base"", ""rear_chassis"", ""front_rear_chassis_pin""]","[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,10010100000,[],000359.jpg,
03_assy_1_3,360,10010100000,0.9,"[[""10010100000"", 0.9]]","[""base"", ""rear_chassis"", ""front_rear_chassis_pin""]","[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,10010100000,[],000360.jpg,
03_assy_1_3,361,10010100000,0.9,"[[""10010100000"", 0.9]]","[""base"", ""rear_chassis"", ""front_rear_chassis_pin""]","[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,10010100000,[],000361.jpg,
03_assy_1_3,362,10010100000,0.9,"[[""10010100000"", 0.9]]","[""base"", ""rear_chassis"", ""front_rear_chassis_pin""]","[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,10010100000,[],000362.jpg,
03_assy_1_3,363,10010100000,0.9,"[[""10010100000"", 0.9]]","[""base"", ""rear_chassis"", ""front_rear_chassis_pin""]","[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,10010100000,[],000363.jpg,
03_assy_1_3,364,10010100000,0.9,"[[""10010100000"", 0.9]]","[""base"", ""rear_chassis"", ""front_rear_chassis_pin""]","[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,10010100000,[],000364.jpg,
